order_id,pickup_lat,pickup_lng,delivery_lat,delivery_lng,placement_time,preparation_time,ready_time,drop_off_time
1,11.004805114009,-74.826926078539,11.0229623,-74.8139672,00:08:24,00:09:01,00:16:01,00:38:24
2,11.008924,-74.825465,11.017625792683,-74.821583032608,00:10:18,00:11:55,00:31:55,00:40:18
3,11.004805114009,-74.826926078539,10.984549412023,-74.813147485256,00:11:43,00:12:19,00:19:19,00:41:43
4,11.021862,-74.811969,11.023315260018,-74.806035648112,00:17:44,00:18:58,00:31:58,00:47:44
5,10.991539,-74.793444,10.9695975,-74.8051701,00:19:05,00:20:21,00:25:21,00:49:05
6,10.991539,-74.793444,10.989867830706,-74.791602306068,00:21:49,00:23:02,00:33:02,00:51:49
7,11.00199018999,-74.827846792948,11.0132414,-74.8352989,00:26:25,00:29:33,00:34:33,00:56:25
8,11.004805114009,-74.826926078539,11.0145157,-74.8255251,00:32:42,00:33:18,00:40:18,00:59:42
9,10.991539,-74.793444,10.9695975,-74.8051701,00:33:07,00:34:00,00:44:00,01:03:07
10,11.004805114009,-74.826926078539,11.002972,-74.812981,00:39:27,00:40:04,00:47:04,01:09:27
11,10.991539,-74.793444,10.989151319338,-74.791802801192,00:40:02,00:40:50,00:45:50,01:10:02
12,11.011667,-74.806478,11.007046,-74.792587,00:43:22,00:44:34,01:04:34,01:12:22
13,11.004805114009,-74.826926078539,11.008927,-74.809789,00:47:59,00:48:33,00:55:33,01:17:59
14,11.00199019,-74.82784679,11.004444526009,-74.799459502101,00:48:25,00:49:50,00:54:50,01:18:25
15,10.991539,-74.793444,10.988426578003,-74.791566766799,00:53:51,00:54:45,00:59:45,01:23:51
16,11.004805114009,-74.826926078539,11.012098,-74.825661,00:56:25,00:56:58,01:03:58,01:23:25
17,11.004996,-74.817723,11.0147364,-74.8184334,01:00:37,01:03:22,01:08:22,01:28:37
18,11.004805114009,-74.826926078539,11.007831,-74.812052,01:01:23,01:01:59,01:08:59,01:31:23
