order_id,pickup_lat,pickup_lng,delivery_lat,delivery_lng,placement_time,preparation_time,ready_time,drop_off_time
1,6.162176031724,-75.594512390155,6.1452244,-75.611729,00:00:01,00:17:00,00:32:00,01:00:01
2,6.209235,-75.568746,6.205962,-75.562153,00:03:08,00:03:58,00:38:58,00:33:08
3,6.209371,-75.567043,6.212462,-75.566284,00:08:03,00:09:36,00:36:36,00:38:03
4,6.211361,-75.572194,6.2117796,-75.5876109,00:09:25,00:10:53,00:25:53,01:09:25
5,6.261528,-75.596973,6.2695482,-75.5915255,00:09:55,00:10:54,00:30:54,00:39:55
6,6.261528,-75.596973,6.278203,-75.587972,00:12:46,00:13:50,00:33:50,00:42:46
7,6.245887,-75.588913,6.228873,-75.606481,00:13:30,00:15:00,00:35:00,00:42:30
8,6.162176031724,-75.594512390155,6.147404247205,-75.612550827209,00:15:56,00:23:18,00:28:18,01:15:56
9,6.245413,-75.589468,6.242639804957,-75.547994635999,00:16:00,00:18:44,00:23:44,00:51:00
10,6.248407,-75.589689,6.2472604,-75.5965076,00:20:11,00:21:20,00:36:20,00:50:11
11,6.179179665163,-75.588300774309,6.172959,-75.5586564,00:20:24,00:21:03,00:28:03,00:50:24
12,6.245887,-75.588913,6.2649913,-75.5972448,00:28:11,00:34:20,00:39:20,00:57:11
13,6.209235,-75.568746,6.19133,-75.580968,00:30:47,00:31:58,01:16:58,01:00:47
14,6.1699867,-75.589988,6.158201169689,-75.595600157976,00:32:20,00:33:44,00:59:44,01:06:20
15,6.213074,-75.5729773,6.2040192,-75.5751462,00:37:14,00:38:05,00:57:05,01:07:14
16,6.239267,-75.582589,6.2459465,-75.6032057,00:39:30,00:40:37,00:54:37,01:09:30
17,6.213572,-75.596668,6.2102265,-75.6022335,00:48:15,00:49:10,00:59:10,01:18:15
18,6.211361,-75.572194,6.228892,-75.5849708,00:52:00,00:53:13,01:03:13,01:52:00
19,6.245453,-75.589347,6.2421503,-75.6060904,00:52:09,00:53:36,01:32:36,01:22:09
20,6.207259,-75.564933,6.2143638,-75.5717058,00:52:56,00:54:12,01:09:12,01:22:56
21,6.245868,-75.588883,6.236286296434,-75.606534518301,00:56:50,00:58:21,01:03:21,01:26:50
22,6.209371,-75.567043,6.2001142,-75.5592373,00:59:44,01:01:45,01:43:45,01:29:44
23,6.207259,-75.564933,6.190654,-75.572605,01:01:38,01:02:37,01:22:37,01:31:38
24,6.211361,-75.572194,6.2037293,-75.6051666,01:03:24,01:18:22,01:28:22,02:03:24
25,6.245739,-75.588682,6.244959,-75.5858683,01:14:25,01:15:47,01:35:47,01:41:25
26,6.259204591707,-75.592743850649,6.2579861,-75.5684462,01:20:45,01:21:57,01:38:57,01:50:45
27,6.211061,-75.558778,6.203425,-75.559365,01:24:37,01:25:47,01:55:47,01:54:37
28,6.181027,-75.568661,6.17824,-75.567411,01:24:47,01:29:23,01:34:23,01:59:47
29,6.209235,-75.568746,6.244122,-75.565646,01:42:20,01:43:29,02:13:29,02:12:20
30,6.246611,-75.602667,6.2529793,-75.5930469,02:04:35,02:17:53,02:22:53,03:04:35
31,6.239267,-75.582589,6.2607663,-75.571239,02:08:53,02:10:10,02:24:10,02:38:53
32,6.211061,-75.558778,6.2088707,-75.5705288,02:18:52,02:19:50,02:49:50,02:48:52
