order_id,store_lat,store_lng,user_lat,user_lng,dispatch_at,pickup_at_lb,pickup_at_ub,deliver_at_lb,deliver_at_ub
107130991,7.072417,-73.101005,7.0732482,-73.1089225,2020-08-20 20:28:01.081011,2020-08-20 20:33:01.000000,2020-08-20 20:43:01.000000,2020-08-20 20:39:01.000000,2020-08-20 20:55:01.000000
107128341,7.123422,-73.111521,7.1079968,-73.1055228,2020-08-20 20:31:01.044238,2020-08-20 20:30:02.000000,2020-08-20 20:40:02.000000,2020-08-20 20:27:39.000000,2020-08-20 20:43:39.000000
107124595,7.111075,-73.107476,7.13608,-73.120172,2020-08-20 20:11:01.106243,2020-08-20 20:10:11.000000,2020-08-20 20:20:11.000000,2020-08-20 20:11:09.000000,2020-08-20 20:27:09.000000
107129413,7.122261,-73.110413,7.136710244833,-73.110661245883,2020-08-20 20:26:01.606913,2020-08-20 20:25:46.000000,2020-08-20 20:35:46.000000,2020-08-20 20:32:25.000000,2020-08-20 20:48:25.000000
107127003,7.1168637,-73.1109771,7.111301213044,-73.11449110508,2020-08-20 20:17:01.960781,2020-08-20 20:16:37.000000,2020-08-20 20:26:37.000000,2020-08-20 20:17:54.000000,2020-08-20 20:33:54.000000
107124857,7.099259,-73.107124,7.099599111464,-73.100512102246,2020-08-20 20:16:02.052468,2020-08-20 20:15:00.000000,2020-08-20 20:25:00.000000,2020-08-20 20:05:05.000000,2020-08-20 20:21:05.000000
107127062,7.122231,-73.109217,7.12713,-73.123777,2020-08-20 20:05:02.100914,2020-08-20 20:04:19.000000,2020-08-20 20:14:19.000000,2020-08-20 20:20:09.000000,2020-08-20 20:36:09.000000
107129452,7.130426,-73.112129,7.097476,-73.101998,2020-08-20 20:22:01.712133,2020-08-20 20:20:52.000000,2020-08-20 20:30:52.000000,2020-08-20 20:30:38.000000,2020-08-20 20:46:38.000000
107131648,7.113211,-73.109836,7.096261,-73.102253,2020-08-20 20:35:01.572316,2020-08-20 20:34:26.000000,2020-08-20 20:44:26.000000,2020-08-20 20:41:24.000000,2020-08-20 20:57:24.000000
107125742,7.119746,-73.109097,7.1207414,-73.1124141,2020-08-20 19:56:01.950265,2020-08-20 19:55:38.000000,2020-08-20 20:05:38.000000,2020-08-20 20:15:05.000000,2020-08-20 20:31:05.000000
107123635,7.099328662921,-73.107318766865,7.100486436173,-73.12647588551,2020-08-20 20:09:01.291120,2020-08-20 20:12:08.000000,2020-08-20 20:22:08.000000,2020-08-20 20:07:44.000000,2020-08-20 20:23:44.000000
107131815,7.119746,-73.109097,7.120236,-73.113498,2020-08-20 20:23:02.476082,2020-08-20 20:22:41.000000,2020-08-20 20:32:41.000000,2020-08-20 20:42:05.000000,2020-08-20 20:58:05.000000
107129441,7.123147,-73.1107,7.098674828031,-73.097153087432,2020-08-20 20:25:01.320904,2020-08-20 20:24:24.000000,2020-08-20 20:34:24.000000,2020-08-20 20:37:33.000000,2020-08-20 20:53:33.000000
107105617,7.071739,-73.1049946,7.061389295352,-73.106953427196,2020-08-20 18:52:02.109485,2020-08-20 18:51:16.000000,2020-08-20 19:01:16.000000,2020-08-20 19:10:41.000000,2020-08-20 19:26:41.000000
107107275,7.09097,-73.107221,7.130527,-73.11714,2020-08-20 19:08:01.690466,2020-08-20 19:06:51.000000,2020-08-20 19:16:51.000000,2020-08-20 19:15:54.000000,2020-08-20 19:31:54.000000
