CI.COURIER_ID + (SELECT NOISE FROM VARS),vehicle,start_lat,start_lng,shift_starts_at,shift_ends_at
195379.0,motorcycle,11.002275299616215,-74.82781380414963,2020-08-05 01:58:00.567493,2020-08-05 23:58:00.683065
234884.0,motorcycle,10.96461441263076,-74.84094053506851,2020-08-05 09:28:01.831613,2020-08-05 15:24:04.170670
215977.0,car,11.018015918015712,-74.8347607254982,2020-08-05 09:06:01.621100,2020-08-05 15:18:04.667202
404492.0,car,10.979495760557237,-74.7770020365715,2020-08-05 09:05:01.533712,2020-08-05 20:14:03.001640
266024.0,motorcycle,10.897500065773777,-74.77729171514511,2020-08-05 08:35:01.325241,2020-08-05 18:07:04.050345
385681.0,car,11.01084012241362,-74.79451149702072,2020-08-05 13:07:03.714572,2020-08-05 16:20:04.386473
245296.0,motorcycle,10.967739723820223,-74.79198485612869,2020-08-05 13:19:04.905159,2020-08-05 20:47:02.321592
405553.0,bicycle,10.98399742533622,-74.78032797574997,2020-08-05 13:30:03.843135,2020-08-05 13:35:05.058142
125133.0,motorcycle,10.996638079757844,-74.80447858572006,2020-08-05 13:20:06.651750,2020-08-05 17:40:03.563388
303230.0,motorcycle,10.97663406036834,-74.84742075204849,2020-08-05 12:57:04.142775,2020-08-05 20:28:03.722312
244646.0,motorcycle,11.023009318699607,-74.81831341981888,2020-08-05 12:45:05.259043,2020-08-05 17:29:04.264404
340396.0,motorcycle,11.016038835511424,-74.84998494386673,2020-08-05 12:42:04.229480,2020-08-05 16:24:03.078720
371229.0,bicycle,11.03289726594219,-74.86766070127487,2020-08-05 08:01:01.195233,2020-08-05 21:09:01.849841
388303.0,car,11.0096259909783,-74.8211458325386,2020-08-05 08:01:01.194951,2020-08-05 10:28:01.659629
379146.0,car,10.90800648497924,-74.79083150625229,2020-08-05 07:35:01.110752,2020-08-05 21:54:01.199653
390128.0,bicycle,10.983130550699729,-74.78643268346786,2020-08-05 07:51:01.719864,2020-08-05 16:02:03.229693
288420.0,motorcycle,10.960645039295237,-74.78119164705276,2020-08-05 07:08:00.652894,2020-08-05 15:31:03.481812
396364.0,motorcycle,11.001770890105512,-74.82795864343643,2020-08-05 07:31:01.113641,2020-08-05 18:26:03.923679
363382.0,motorcycle,10.99450130982052,-74.79985445737839,2020-08-05 07:21:00.912973,2020-08-05 20:14:03.003272
364694.0,bicycle,10.97713593515789,-74.78756994009018,2020-08-05 07:11:00.883298,2020-08-05 21:54:01.199880
386105.0,car,11.00294193128112,-74.82123166322708,2020-08-05 06:52:00.723396,2020-08-05 08:43:01.524852
381611.0,motorcycle,10.984679265328085,-74.82595235109329,2020-08-05 06:34:00.687888,2020-08-05 22:04:01.079274
96145.0,motorcycle,11.024274144558111,-74.80653315782547,2020-08-05 06:56:00.859994,2020-08-05 18:10:03.478518
404305.0,car,10.926362935615169,-74.79558438062668,2020-08-05 06:53:00.718567,2020-08-05 18:58:04.676702
304957.0,motorcycle,10.9639072254273,-74.79523569345474,2020-08-05 06:45:00.763863,2020-08-05 19:57:03.116592
207368.0,walking,11.004303076543684,-74.79220479726791,2020-08-05 06:00:00.651223,2020-08-05 22:32:00.954583
126372.0,motorcycle,10.922489881683704,-74.80701059103012,2020-08-05 10:59:01.744720,2020-08-05 14:06:03.292181
387676.0,motorcycle,10.926347727288215,-74.78027433156967,2020-08-05 10:38:02.000237,2020-08-05 11:31:02.492824
194266.0,motorcycle,11.005418353853791,-74.82582896947861,2020-08-05 11:01:02.530367,2020-08-05 21:22:01.769568
390610.0,car,11.003337347781972,-74.8028638958931,2020-08-05 10:32:02.002031,2020-08-05 14:29:04.558614
290325.0,bicycle,10.935812376097182,-74.78880912065506,2020-08-05 10:49:01.521149,2020-08-05 19:00:06.589413
390311.0,car,10.961496705604766,-74.79269832372665,2020-08-05 10:53:01.703262,2020-08-05 13:57:03.934800
240582.0,motorcycle,10.996919433806532,-74.81055647134781,2020-08-05 10:56:01.641999,2020-08-05 12:05:03.859273
81675.0,motorcycle,10.987107528198727,-74.7839006781578,2020-08-05 10:49:01.522198,2020-08-05 23:58:00.683473
386986.0,motorcycle,10.996544295074948,-74.80428546667099,2020-08-05 10:33:02.174759,2020-08-05 20:36:02.900447
281745.0,motorcycle,10.993325199202587,-74.81036335229874,2020-08-05 10:52:01.908373,2020-08-05 16:30:04.053363
