order_id,pick_up_lat,pick_up_lng,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
1,11.011667,-74.806478,10.994731,-74.800124,00:01:46,00:02:56,00:17:56,00:30:46
2,11.011667,-74.806478,10.9994128,-74.8245086,00:04:31,00:06:04,00:21:04,00:33:31
3,11.004805114009,-74.826926078539,11.008687,-74.812508,00:05:31,00:06:06,00:13:06,00:35:31
5,11.004805114009,-74.826926078539,11.015889350954,-74.805680711074,00:12:31,00:13:16,00:20:16,00:42:31
4,11.016012,-74.82386,11.015889350954,-74.805680711074,00:12:31,00:13:38,00:43:38,00:59:31
6,10.994458508516,-74.811661205453,11.007589,-74.838071,00:14:11,00:15:21,00:31:21,00:44:11
7,11.004805114009,-74.826926078539,11.007925843677,-74.808500558138,00:14:28,00:15:03,00:22:03,00:44:28
8,11.004875,-74.817183,11.012260484122,-74.820614084601,00:19:18,00:20:10,00:48:10,00:49:18
9,11.004805114009,-74.826926078539,11.0176103,-74.824756,00:23:22,00:24:02,00:31:02,00:52:22
10,11.004875,-74.817183,10.978823093606,-74.80755943805,00:23:25,00:24:59,00:51:59,00:53:25
11,10.994458508516,-74.811661205453,10.9743058,-74.798656,00:26:04,00:27:25,00:47:25,01:01:04
12,11.004875,-74.817183,11.0120568,-74.8272054,00:27:05,00:27:46,00:54:46,00:57:05
13,11.00199018999,-74.827846792948,11.0187038,-74.8009084,00:29:50,00:31:57,00:36:57,00:59:50
14,11.004805114009,-74.826926078539,11.007167899092,-74.80590103335,00:31:12,00:31:49,00:38:49,01:01:12
15,11.008924,-74.825465,11.0091927,-74.8332228,00:31:51,00:32:55,01:07:55,01:01:51
16,10.992971,-74.802153,11.002167453,-74.804268666,00:35:59,00:36:56,00:51:56,01:09:59
17,11.008924,-74.825465,11.0024846,-74.8114464,00:40:21,00:41:24,01:01:24,01:10:21
18,11.011667,-74.806478,10.990202,-74.797998,00:46:23,00:47:50,01:07:50,01:15:23
19,11.011667,-74.806478,10.9936575,-74.7931032,00:49:15,00:50:17,01:10:17,01:18:15
20,11.021862,-74.811969,11.004815,-74.835837,00:53:34,00:54:29,01:08:29,01:23:34
21,11.004805114009,-74.826926078539,11.01158,-74.817772,00:57:29,00:58:07,01:05:07,01:26:29
22,11.021862,-74.811969,11.0162339,-74.8276701,00:58:28,00:59:38,01:12:38,01:28:28
23,11.008924,-74.825465,11.0100801,-74.8360287,00:59:10,01:00:12,01:30:12,01:29:10
24,10.992971,-74.802153,10.9780326,-74.7868361,01:05:22,01:06:24,01:21:24,01:39:22
25,11.011667,-74.806478,11.0133346,-74.8320879,01:11:53,01:12:41,01:32:41,01:40:53
26,11.004805114009,-74.826926078539,11.018088,-74.862664,01:17:32,01:18:10,01:25:10,01:47:32
27,11.004805114009,-74.826926078539,10.9911934,-74.8114137,01:25:34,01:26:10,01:33:10,01:55:34
28,10.994458508516,-74.811661205453,11.019307,-74.804233,01:35:39,01:37:15,01:53:15,02:10:39
29,11.011667,-74.806478,11.00901,-74.806885,01:44:53,01:45:58,02:05:58,02:12:53
30,11.005831,-74.793654,11.018101,-74.806944,01:47:36,01:48:36,02:13:36,02:17:36
31,10.984997,-74.797077,10.995796,-74.8116028,01:53:40,01:55:26,02:15:26,02:23:40
32,11.011667,-74.806478,11.016709029613,-74.817722246955,02:05:44,02:06:55,02:26:55,02:34:44
33,11.004805114009,-74.826926078539,11.007997,-74.8270475,02:14:57,02:15:35,02:22:35,02:40:57
34,10.994458508516,-74.811661205453,11.00725,-74.807484,02:38:47,02:40:05,02:56:05,02:56:47
35,11.004805114009,-74.826926078539,11.013447,-74.837746,02:56:55,02:57:28,03:04:28,03:25:55
36,11.004805114009,-74.826926078539,11.009539,-74.81301,03:44:34,03:45:10,03:52:10,04:13:34
37,11.004805114009,-74.826926078539,10.990085542491,-74.810543489059,05:03:48,05:04:22,05:11:22,05:33:48
38,10.988193,-74.797919,11.0140506,-74.810694,06:08:27,06:09:45,06:19:45,06:32:27
39,10.988193,-74.797919,11.0006782,-74.8171698,06:24:27,06:25:40,06:33:40,06:48:27
40,11.00199018999,-74.827846792948,11.0097024,-74.8102087,06:25:38,06:27:38,06:32:38,06:55:38
41,11.016796818573,-74.81058379266,11.010751216358,-74.806812778115,06:28:02,06:29:43,06:59:43,06:58:02
42,10.988193,-74.797919,10.9784812,-74.7975416,06:29:49,06:31:31,06:46:31,06:53:49
43,11.016796818573,-74.81058379266,11.009025177754,-74.808119736789,06:40:21,06:41:36,07:11:36,07:10:21
44,11.004805114009,-74.826926078539,10.999107736323,-74.81706632668,06:43:24,06:44:02,06:51:02,07:10:24
45,10.988193,-74.797919,10.97582,-74.798272,06:45:38,06:47:00,07:12:00,07:09:38
46,10.988193,-74.797919,10.991960415726,-74.799009561539,06:46:00,06:47:16,06:55:16,07:10:00
47,11.016796818573,-74.81058379266,11.016875,-74.83138,06:46:25,06:47:20,07:23:20,07:16:25
48,11.00199018999,-74.827846792948,11.003636556913,-74.817396439612,06:46:53,06:48:00,06:53:00,07:16:53
49,11.016796818573,-74.81058379266,10.9831499,-74.7990128,06:48:05,06:49:14,07:37:14,07:18:05
50,11.002444,-74.821036,11.011408,-74.834847,06:54:46,06:56:07,07:31:07,07:26:46
51,11.016796818573,-74.81058379266,11.010659067181,-74.82905164361,06:55:01,06:56:29,07:27:29,07:25:01
52,10.988193,-74.797919,10.9812926,-74.8183437,07:00:22,07:01:46,07:09:46,07:24:22
53,11.007280730358,-74.816359840729,11.0016611,-74.8131356,07:02:35,07:03:29,07:25:29,07:41:35
54,11.016796818573,-74.81058379266,11.000546836331,-74.834934733808,07:02:52,07:04:15,07:47:15,07:32:52
55,11.016796818573,-74.81058379266,10.9992788,-74.8251311,07:04:07,07:05:13,07:38:13,07:34:07
56,11.009985,-74.812551,11.007911,-74.810174,07:04:29,07:11:07,07:16:07,07:34:29
57,10.988193,-74.797919,10.997225054373,-74.814379625022,07:05:03,07:06:16,07:14:16,07:29:03
58,11.016796818573,-74.81058379266,11.011283048184,-74.836469627917,07:05:36,07:06:46,07:39:46,07:35:36
59,10.988193,-74.797919,10.993293040381,-74.801484905183,07:07:38,07:08:50,07:16:50,07:31:38
60,11.005208,-74.817583,11.003557899111,-74.828795157373,07:08:48,07:09:48,07:45:48,07:40:48
61,11.024109423155,-74.812227140747,10.99137,-74.815242,07:10:12,07:11:29,07:32:29,08:30:12
62,11.0031934,-74.8104183,11.017452,-74.832517,07:13:45,07:20:58,07:25:58,07:55:45
63,10.988193,-74.797919,10.976096816204,-74.79137532413,07:16:08,07:17:15,07:27:15,07:40:08
64,11.002444,-74.821036,11.0001239,-74.7916614,07:16:46,07:18:51,07:44:51,07:48:46
65,11.002444,-74.821036,11.008498,-74.831739,07:16:58,07:18:59,07:44:59,07:48:58
66,11.008581,-74.825582,11.010706,-74.822416,07:17:49,07:19:18,07:42:18,07:43:49
67,11.016796818573,-74.81058379266,11.0201462,-74.8242812,07:18:42,07:19:43,07:54:43,07:48:42
68,10.990901,-74.807662,10.9806226,-74.8337474,07:20:30,07:21:48,07:31:48,07:50:30
69,11.024109423155,-74.812227140747,11.016621,-74.815187,07:20:38,07:23:42,07:43:42,08:05:38
70,11.002444,-74.821036,10.996171541746,-74.794256687164,07:20:50,07:22:02,07:47:02,07:52:50
71,11.004988,-74.82706,11.0085562,-74.8344363,07:20:54,07:21:30,07:28:30,07:50:54
72,11.016796818573,-74.81058379266,11.009814,-74.812157,07:21:42,07:23:15,07:59:15,07:51:42
73,10.988193,-74.797919,11.013521,-74.805063,07:22:08,07:23:20,07:31:20,07:46:08
74,11.005453,-74.809882,11.0152688,-74.794545,07:22:55,07:24:12,07:49:12,07:52:55
75,11.002444,-74.821036,11.018507,-74.820684,07:25:07,07:26:00,07:56:00,07:57:07
76,11.016796818573,-74.81058379266,10.992957334071,-74.816833175719,07:25:24,07:26:36,08:02:36,07:55:24
77,10.988193,-74.797919,10.9916501,-74.8165171,07:26:46,07:28:33,07:36:33,07:50:46
78,11.016796818573,-74.81058379266,11.015139,-74.821651,07:26:50,07:28:17,08:01:17,07:56:50
79,11.007280730358,-74.816359840729,11.004808851878,-74.803148880601,07:27:07,07:28:33,08:11:33,08:10:07
80,11.024109423155,-74.812227140747,11.0002098,-74.813315,07:28:35,07:30:21,07:50:21,08:33:35
81,11.016796818573,-74.81058379266,11.016681,-74.828206,07:29:19,07:30:19,08:06:19,07:59:19
82,11.016796818573,-74.81058379266,11.0103587,-74.8364639,07:31:05,07:32:07,08:09:07,08:01:05
83,11.016796818573,-74.81058379266,11.001815,-74.825832,07:32:00,07:33:01,08:09:01,08:02:00
84,11.024109423155,-74.812227140747,11.01552,-74.815155,07:32:19,07:33:43,07:54:43,08:17:19
85,11.024109423155,-74.812227140747,11.01244576875,-74.823182635009,07:33:06,07:34:08,07:56:08,08:28:06
86,11.024109423155,-74.812227140747,11.01733,-74.836983,07:34:05,07:36:32,07:57:32,08:44:05
87,10.988193,-74.797919,10.990085433333,-74.809801166667,07:35:25,07:37:04,07:45:04,07:59:25
88,11.0015957,-74.8048809,10.99767,-74.8309912,07:35:55,07:37:06,08:03:06,08:15:55
89,10.988193,-74.797919,10.9901005,-74.8103603,07:36:28,07:37:49,07:45:49,08:00:28
90,11.016796818573,-74.81058379266,11.0042176,-74.8131228,07:37:51,07:39:11,08:12:11,08:07:51
91,11.007280730358,-74.816359840729,11.0167048,-74.8360204,07:43:43,07:44:47,08:27:47,08:26:43
92,11.0005798,-74.7970019,11.020254,-74.818764,07:43:58,07:45:37,08:10:37,08:13:58
93,11.002444,-74.821036,11.004737,-74.797927,07:45:51,07:47:10,08:13:10,08:17:51
94,11.008581,-74.825582,11.013748668694,-74.811362493683,07:46:41,07:48:52,08:11:52,08:19:41
95,10.988193,-74.797919,11.000414679021,-74.801447947496,07:48:05,07:49:19,08:09:19,08:12:05
96,10.988193,-74.797919,11.00777,-74.797118,07:50:35,07:51:40,07:59:40,08:14:35
97,10.9969722,-74.8172806,11.023575,-74.807899,07:52:12,07:53:23,08:23:23,08:22:12
98,10.990901,-74.807662,10.9905724,-74.8083941,07:52:54,07:54:14,08:04:14,08:22:54
99,11.0015957,-74.8048809,10.998211,-74.800248,07:54:41,07:56:53,08:23:53,08:33:41
100,11.016039,-74.846085,11.0077517,-74.8380823,07:54:46,07:58:19,08:03:19,08:21:46
101,11.006143011021,-74.817117711639,11.006142,-74.80513,07:54:58,07:57:38,08:12:38,08:29:58
102,11.009937,-74.812539,11.0122774,-74.8269588,07:57:08,07:58:17,08:14:17,08:34:08
103,10.9969722,-74.8172806,10.999114192862,-74.813836477697,07:57:52,07:59:28,08:29:28,08:27:52
104,11.016796818573,-74.81058379266,11.0083146,-74.8336893,07:57:52,07:59:08,08:41:08,08:27:52
105,11.0031934,-74.8104183,11.002303,-74.810479,07:58:55,08:00:06,08:37:06,08:36:55
106,11.009937,-74.812539,11.0119842,-74.819259,07:59:34,08:01:24,08:33:24,08:35:34
107,11.016796818573,-74.81058379266,11.008336,-74.826732,07:59:34,08:00:33,08:36:33,08:29:34
108,11.004988,-74.82706,11.0186628,-74.8395363,07:59:37,08:00:13,08:07:13,08:29:37
119,10.988193,-74.797919,11.017279912096,-74.806365519762,08:00:23,08:01:55,08:11:55,08:24:23
120,10.9969722,-74.8172806,10.9870227,-74.8015785,08:01:32,08:03:58,08:33:58,08:31:32
121,11.004358,-74.8065953,11.029504947903,-74.806483536959,08:02:34,08:08:19,08:13:19,08:32:34
122,11.0031934,-74.8104183,11.00664,-74.823544,08:02:41,08:04:02,08:42:02,08:40:41
123,11.004996,-74.817723,10.998052,-74.792847,08:02:43,08:08:32,08:23:32,08:30:43
124,11.016796818573,-74.81058379266,11.019163,-74.81973,08:03:02,08:03:55,08:34:55,08:33:02
125,11.025556,-74.862028,11.0176574,-74.8275318,08:03:29,08:06:33,08:36:33,08:33:29
126,11.016796818573,-74.81058379266,10.9782605,-74.8095918,08:07:12,08:09:20,08:39:20,08:37:12
127,11.016796818573,-74.81058379266,10.993057,-74.816668,08:07:45,08:08:56,08:39:56,08:37:45
128,10.988193,-74.797919,10.998241,-74.787686,08:07:49,08:09:25,08:17:25,08:31:49
129,11.0015957,-74.8048809,11.0019119,-74.828443,08:08:43,08:09:54,08:32:54,08:48:43
130,11.016796818573,-74.81058379266,10.996163971976,-74.804611355066,08:10:28,08:12:35,08:58:35,08:40:28
131,11.016808,-74.824119,11.007382816119,-74.835514090955,08:11:56,08:13:04,08:28:04,08:41:56
132,11.004988,-74.82706,11.0165681,-74.814678,08:12:17,08:12:52,08:19:52,08:42:17
133,10.988193,-74.797919,10.981781,-74.777801,08:12:18,08:14:03,08:24:03,08:36:18
134,11.024109423155,-74.812227140747,11.015889350954,-74.805680711074,08:12:47,08:14:06,08:36:06,09:02:47
135,11.000802,-74.806203,11.0026738,-74.8167393,08:12:51,08:14:26,08:34:26,08:42:51
136,11.003743379615,-74.817666569645,11.0064064,-74.8078868,08:13:25,08:15:10,08:35:10,08:44:25
137,10.992913477089,-74.803427134116,11.018704,-74.800909,08:18:14,08:19:14,08:44:14,08:52:14
138,11.0015957,-74.8048809,10.9705392,-74.8058716,08:18:35,08:19:30,08:41:30,08:58:35
139,10.983004,-74.793561,11.007377,-74.797189,08:19:55,08:21:08,08:38:08,09:01:55
140,11.0015957,-74.8048809,11.020287418001,-74.824868060268,08:20:41,08:21:25,08:43:25,09:00:41
141,10.98494,-74.8133838,10.9749041,-74.7980601,08:21:14,08:22:32,08:42:32,08:51:14
142,11.016796818573,-74.81058379266,11.005674082643,-74.823357276289,08:21:48,08:22:56,08:55:56,08:51:48
143,11.016808,-74.824119,10.9911934,-74.8114137,08:22:02,08:23:27,08:53:27,09:05:02
144,10.990374,-74.805045,10.9809626,-74.8135932,08:22:13,08:22:47,08:33:47,08:47:13
145,11.0015957,-74.8048809,11.017298,-74.83247,08:23:01,08:24:24,08:46:24,09:03:01
