order_id,pickup_lat,pickup_lng,delivery_lat,delivery_lng,placement_time,preparation_time,ready_time,drop_off_time
1,6.259204591707,-75.592743850649,6.255819,-75.594637,00:01:51,00:03:00,00:31:00,00:31:51
2,6.336558,-75.55926,6.3140949,-75.5516327,00:05:21,00:07:05,00:25:05,00:35:21
3,6.245739,-75.588682,6.265354899826,-75.596778155339,00:05:59,00:07:08,00:32:08,00:42:59
4,6.248884,-75.589713,6.2635176,-75.5991888,00:09:00,00:10:18,00:20:18,00:38:00
5,6.245453,-75.589347,6.2638455,-75.5677677,00:09:59,00:10:52,00:35:52,00:39:59
6,6.209371,-75.567043,6.2096422,-75.5688907,00:13:10,00:13:58,00:36:58,00:43:10
7,6.261528,-75.596973,6.2549156,-75.6092836,00:23:25,00:24:15,00:42:15,00:53:25
8,6.209235,-75.568746,6.239917084966,-75.58333143423,00:24:05,00:25:02,00:46:02,00:54:05
9,6.209235,-75.568746,6.2271264,-75.5846222,00:32:18,00:33:30,00:54:30,01:02:18
10,6.213074,-75.5729773,6.197728,-75.576247,00:34:09,00:35:11,00:56:11,01:04:09
11,6.248800908499,-75.589698391541,6.23401490595,-75.61016689986,00:37:22,00:38:19,00:58:19,01:07:22
12,6.213074,-75.5729773,6.212462,-75.566284,00:41:25,00:42:45,01:03:45,01:11:25
13,6.243626,-75.600355,6.261010652803,-75.590501613915,00:44:34,00:45:42,01:05:42,01:03:34
14,6.248800908499,-75.589698391541,6.2291897,-75.6065558,00:50:49,00:51:41,01:06:41,01:20:49
15,6.248800908499,-75.589698391541,6.265405549381,-75.588583163917,00:51:40,00:52:49,01:07:49,01:21:40
16,6.228646013116,-75.596452487103,6.2453558,-75.590908,00:52:02,00:53:25,01:30:25,01:22:02
17,6.245453,-75.589347,6.2376958,-75.5901867,00:58:22,00:59:56,01:24:56,01:28:22
18,6.211061,-75.558778,6.195996241341,-75.554885389374,01:24:18,01:25:42,01:40:42,01:54:18
19,6.259204591707,-75.592743850649,6.261710865921,-75.567893609405,01:35:59,01:37:33,01:54:33,02:05:59
20,6.223423,-75.585937,6.254940988867,-75.598228387535,01:51:17,01:54:15,02:34:15,02:21:17
21,6.245453,-75.589347,6.239022284026,-75.607908144593,01:54:02,01:57:17,02:32:17,02:24:02
22,6.251247,-75.565171,6.2635429,-75.5626201,01:55:25,01:56:21,02:11:21,02:25:25
23,6.223423,-75.585937,6.2488321,-75.6018017,02:27:31,02:30:24,03:00:24,02:57:31
24,6.225142,-75.569995,6.2442496,-75.6065211,02:29:14,02:41:02,02:46:02,02:59:14
25,6.251247,-75.565171,6.2618718,-75.5593915,02:29:35,02:30:48,02:45:48,02:59:35
26,6.213074,-75.5729773,6.193049,-75.568237,02:31:59,02:33:14,02:54:14,03:01:59
27,6.1907706,-75.5916743,6.2088707,-75.5705288,02:54:48,02:56:24,03:01:24,03:24:48
28,6.239671,-75.581043,6.2453558,-75.590908,03:15:47,03:16:42,03:33:42,03:45:47
29,6.246611,-75.602667,6.2507234,-75.5828747,03:15:50,03:17:07,03:22:07,04:15:50
30,6.20508,-75.587236,6.199850082669,-75.575361454035,03:36:40,03:38:24,03:43:24,04:11:40
31,6.211045,-75.571742,6.1836926,-75.577051,04:09:57,04:10:47,04:30:47,04:39:57
32,6.223423,-75.585937,6.209492,-75.567394,04:42:19,04:43:54,05:03:54,05:12:19
33,6.1907706,-75.5916743,6.1978251,-75.5768831,04:57:05,04:59:17,05:04:17,05:27:05
34,6.197659817,-75.574904402,6.195055781389,-75.571879036725,05:24:10,05:26:41,05:31:41,05:54:10
35,6.181027,-75.568661,6.1966297,-75.5566961,05:39:59,05:47:43,05:52:43,06:14:59
36,6.171367,-75.5871,6.1587716,-75.5966407,05:43:58,05:46:43,05:51:43,06:18:58
37,6.197132,-75.557522,6.2001142,-75.5592373,05:46:53,05:48:10,05:58:10,06:16:53
38,6.223423,-75.585937,6.2303007,-75.6041963,06:07:02,06:08:16,06:48:16,06:37:02
39,6.203580031057,-75.576513735813,6.2002935,-75.5708989,06:09:11,06:10:26,06:30:26,06:34:11
40,6.203580031057,-75.576513735813,6.2040687,-75.5708103,06:15:32,06:17:25,06:32:25,06:40:32
41,6.197659817,-75.574904402,6.18773,-75.574534,06:16:05,06:27:37,06:32:37,06:46:05
