order_id,pick_up_lat,pick_up_lng,drop_off_lat,drop_off_lng,placement_time,preparation_time,ready_time,expected_drop_off_time
1,6.225142,-75.569995,6.20737241202,-75.599439740181,00:01:30,00:05:01,00:10:01,00:31:30
2,6.246611,-75.602667,6.236389283678,-75.594642944634,00:02:20,00:04:34,00:09:34,01:02:20
3,6.199933,-75.562701,6.223428,-75.567802,00:03:54,00:04:48,00:19:48,00:33:54
4,6.207259,-75.564933,6.210228932665,-75.573957681021,00:04:05,00:05:23,00:45:23,00:34:05
5,6.225142,-75.569995,6.2280726,-75.5670605,00:04:05,00:08:57,00:13:57,00:34:05
6,6.248884,-75.589713,6.256493405781,-75.607083700597,00:05:20,00:06:40,00:26:40,00:35:20
7,6.20232,-75.586565,6.190611,-75.572476,00:07:45,00:09:00,00:14:00,00:37:45
8,6.192476040377,-75.581791116279,6.190878,-75.558823,00:07:49,00:09:14,00:44:14,00:37:49
9,6.248731,-75.588871,6.2806225,-75.5951095,00:08:31,00:09:38,00:29:38,00:38:31
10,6.209923,-75.569157,6.202793,-75.5730437,00:10:08,00:11:12,00:31:12,00:40:08
11,6.248884,-75.589713,6.240719,-75.59986,00:10:34,00:17:10,00:22:10,00:39:34
12,6.243626,-75.600355,6.242449545106,-75.599677117339,00:11:16,00:12:57,00:37:57,00:30:16
13,6.217072,-75.598528,6.217275316788,-75.604043389233,00:11:24,00:12:37,00:17:37,00:46:24
14,6.15158,-75.614052,6.1495559,-75.6226116,00:11:29,00:12:26,00:32:26,00:41:29
15,6.261528,-75.596973,6.2643529,-75.5959431,00:12:04,00:13:18,00:41:18,00:42:04
16,6.248407,-75.589689,6.2422683,-75.5993966,00:12:23,00:13:49,00:33:49,00:42:23
17,6.224544,-75.568974,6.2361699,-75.5509237,00:12:32,00:13:53,00:33:53,00:42:32
18,6.247605,-75.594548,6.245757169863,-75.582406254439,00:13:03,00:14:22,00:27:22,00:43:03
19,6.247605,-75.594548,6.2458985,-75.557367,00:15:45,00:16:43,00:29:43,00:45:45
20,6.20232,-75.586565,6.181384,-75.562045,00:16:55,00:19:01,00:24:01,00:46:55
